Job Code,Date Accessed,Full URL,Title,Agency,Pay scale & grade,Remote job,Telework eligible,Travel Required,Relocation expenses reimbursed,Appointment type,Work schedule,Hiring Process,Promotion Potential,Supervisory Status,Security Clearance,Drug Test,salary_min,salary_max,Keyword
819812500,2024-12-08,https://www.usajobs.gov/job/819812500,Research Agricultural Engineer/Mechanical Engineer/Electrical Engineer/Physicist,Department of Agriculture,GS 11 - 15,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Competitive,15,No,Not Required,No,72553,186854,Data Engineer
819819500,2024-12-08,https://www.usajobs.gov/job/819819500,OPERATIONS RESEARCH ANALYST,Department of the Air Force,NH 3,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,None,No,Other,Yes,86962,134435,Data Analyst
819820400,2024-12-08,https://www.usajobs.gov/job/819820400,Healthcare Engineer,Department of Veterans Affairs,GS 00,No,No,Not required,No,Permanent,Full-time,Excepted,12,No,Not Required,No,56654,125801,Data Engineer
819821000,2024-12-08,https://www.usajobs.gov/job/819821000,Healthcare Engineer,Department of Veterans Affairs,GS 7 - 12,No,No,Not required,No,Permanent,Full-time,Excepted,12,No,Not Required,No,56654,125801,Data Engineer
819831700,2024-12-08,https://www.usajobs.gov/job/819831700,PROGRAM ANALYST,Department of the Air Force,GS 9,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Excepted,None,No,Secret,No,59966,77955,Data Analyst
819834600,2024-12-08,https://www.usajobs.gov/job/819834600,Supervisory Data Scientist,Department of Veterans Affairs,GS 14,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel for this position.,No,Permanent,Full-time,Excepted,14,Yes,Other,No,152105,191900,"Data Analyst, Data Engineer, Data Scientist"
819834800,2024-12-08,https://www.usajobs.gov/job/819834800,SUPERVISORY ENGINEER/ARCHITECT/COMMUNITY PLANNER,Department of the Navy,GS 13,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management.",Not required,No,Permanent,Full-time,Competitive,13,Yes,Secret,No,107809,140155,Data Engineer
819845000,2024-12-08,https://www.usajobs.gov/job/819845000,MANAGEMENT ANALYST-TITLE 32,Department of the Army,GS 9,No,No,Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Excepted,None,No,Secret,No,59966,77955,Data Analyst
819859500,2024-12-08,https://www.usajobs.gov/job/819859500,Tax Analyst,Department of the Treasury,GS 11,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,13,No,Not Required,No,74522,96876,Data Analyst
819870800,2024-12-08,https://www.usajobs.gov/job/819870800,SUPERVISORY PROCUREMENT ANALYST,Department of the Navy,GS 14,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management.",25% or less - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,None,Yes,Secret,No,124583,174811,Data Analyst
819876200,2024-12-08,https://www.usajobs.gov/job/819876200,Budget Analyst - DIRECT HIRE,Department of Transportation,GS 11 - 13,No,Yes—As determined by the agency policy.,Occasional travel - Some travel will be required.,"Yes—Varies by position. Recruitment, relocation, or retention incentives (PCS) are determined by the hiring agency and may or may not be authorized.","Multiple Appointment Types - Appointment Types vary depending on position (Permanent, Temporary, Term, etc.)","Multiple Schedules - Work Schedules vary depending on position (Full-time, Part-time, Intermittent, etc.)",Competitive,13,No,Other,No,72553,167336,Data Analyst
819897100,2024-12-08,https://www.usajobs.gov/job/819897100,Management and Program Analyst,Department of Health and Human Services,GS 14,No,Yes—as determined by the agency policy.,Not required,No,Permanent,Full-time,Competitive,14,No,Other,No,139395,181216,Data Analyst
819903700,2024-12-08,https://www.usajobs.gov/job/819903700,Management and Program Analyst,Department of the Treasury,GS 13,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,13,No,Not Required,No,103409,167336,Data Analyst
819907600,2024-12-08,https://www.usajobs.gov/job/819907600,ENGINEERING TECHNICIAN,Department of the Navy,GS 9,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management.",25% or less - You may be expected to travel for this position.,No,Permanent,Full-time,Competitive,9,No,Secret,No,62517,81272,Data Engineer
819911500,2024-12-08,https://www.usajobs.gov/job/819911500,MANAGEMENT ANALYST,Department of the Air Force,GS 14,No,Yes—as determined by the agency policy.,Occasional travel - You may be expected to travel for this position.,Yes—You may or may not be authorized for PCS in accordance with agency policy.,Permanent,Full-time,Competitive,14,No,Sensitive Compartmented Information,Yes,139395,181216,Data Analyst
819917900,2024-12-08,https://www.usajobs.gov/job/819917900,INTERDISCIPLINARY COMMUNITY PLANNER/ENGINEER/ARCHITECT,Department of the Navy,GS 9 - 12,No,"Yes—This position is eligible for part time, substantial or ad-hoc telework at the discretion of management.",Occasional travel - You may be expected to travel for this position.,Yes—Relocation incentives as described in 5 USC 5753 may be authorized in accordance with applicable regulations. PCS is not authorized.,Permanent,Full-time,Competitive,12,No,Secret,No,74642,140713,Data Engineer
819928700,2024-12-08,https://www.usajobs.gov/job/819928700,Budget Analyst,National Foundation on the Arts and the Humanities,GS 13,No,Yes—as determined by the agency policy.,Not required,No,Permanent,Full-time,Competitive,14,No,Other,No,117962,153354,Data Analyst
819934300,2024-12-08,https://www.usajobs.gov/job/819934300,Civil Engineer (Highway) - DIRECT HIRE,Department of Transportation,GS 11 - 12,No,Yes—as determined by the agency policy.,Occasional travel - Some travel will be required.,Yes—Relocation expenses are authorized for this position.,Permanent,Full-time - Full Time,Competitive,12,No,Other,No,82764,128956,Data Engineer
819936600,2024-12-08,https://www.usajobs.gov/job/819936600,FINANCIAL MANAGEMENT ANALYST,Department of the Navy,GS 13,No,Yes—as determined by the agency policy.,25% or less - You may be expected to travel for this position.,Yes—You may qualify for reimbursement of relocation expenses in accordance with agency policy.,Permanent,Full-time,Competitive,None,No,Secret,No,117962,153354,Data Analyst
